"","Preço_do_Produto","Unidades_Vendidas","Média_da_Nota_do_Produto","Quantidade_de_Avaliações","Preço_de_Varejo","Média_de_Nota_do_Vendedor","Quantidade_de_Avaliações_do_Vendedor"
"1243",9,100,5,0,9,4.20372535645848,246312
"1244",11,5000,4.03,756,10,3.87200997619318,8821
"1245",9,1000,4.2,300,9,3.59008258431749,82219
"1246",4.81,100,5,0,5,4.33333333333333,6
"1247",8,50,3.8,5,10,3.7906976744186,129
"1248",8,10000,4.17,1910,140,4.16780487804878,2050
"1249",5,1000,2.98,102,5,3.90494186046512,10320
"1250",6,1000,3.98,330,6,4.3515406162465,1428
"1251",13,1000,4.14,582,11,4.16290093221678,6329
"1252",2.89,50,5,1,7,3.73333333333333,30
"1253",11,1000,3.97,212,10,3.93186003683241,543
"1254",5,1000,4.13,103,5,3.88454364585924,32168
"1255",7,100,3.6,25,6,4.15527950310559,483
"1256",9,1000,4.24,192,8,4.29848866498741,794
"1257",12,100,3.6,30,11,3.78960148550207,105015
"1258",5.75,1000,3.67,117,25,4.20963172804533,706
"1259",11,100,2.92,12,16,3.66666666666667,18
"1260",11,1000,4.15,674,102,4.19020876571847,8191
"1261",11,100,4.39,23,47,4.36098374322634,7197
"1262",7,100,3.83,18,6,3.82666666666667,75
"1263",1.72,100,3.77,30,2,3.88454364585924,32168
"1264",2.9,100,3.89,19,3,4.19018404907975,163
"1265",8,10000,3.95,903,9,3.92887966129295,24564
"1266",2.81,50,3.64,14,33,4.10596705421841,42919
"1267",2,100,4.15,34,2,4.22096774193548,620
"1268",8,100,4.2,10,7,3.93181818181818,88
"1269",5.86,1000,4.06,223,59,4.07988557503841,18877
"1270",11,1000,3.95,596,26,3.99981929887965,5534
"1271",2.67,10,5,0,67,3.69230769230769,13
"1272",11,10000,4.05,1479,10,3.93638239339752,5816
"1273",13,5000,3.79,1095,68,4.23669052908747,24306
"1274",5.65,100,2.86,7,10,3.89967327625056,17752
"1275",8,100,4.04,139,7,4.27799136916438,12745
"1276",14,1000,4.18,197,102,4.17372311827957,17856
"1277",11,1000,3.38,37,60,3.9601706970128,703
"1278",7,10000,3.98,2159,23,4.29389964858757,213709
"1279",11,10000,3.86,2102,10,4.02562307476897,14284
"1280",9,1000,3.92,317,31,4.16598284222305,8043
"1281",8,10000,4.19,3679,84,4.18781361119027,80713
"1282",8,100,4.39,23,7,3.89719626168224,107
"1283",11,100,3.65,31,84,4.03464507625683,5311
"1284",15,50,4.4,10,13,3.67647058823529,34
"1285",16,100,3.44,27,14,3.36713286713287,572
"1286",5,5000,2.94,667,5,4.23032036613272,8740
"1287",13,100,4.11,47,85,3.87816699713593,9078
"1288",20,100,3.2,60,17,3.25,64
"1289",16,100,3.73,89,14,3.94679091563424,130598
"1290",1,100,3.56,52,10,3.83793694273772,91631
"1291",9,20000,3.31,3344,14,3.90254772046064,25356
"1292",14,1000,4.26,429,12,4.223259762309,1178
"1293",6,6,5,0,17,4.0496402767338,65189
"1294",7,100,2.75,4,6,3.90853542104258,10474
"1295",11,5000,3.91,487,10,4.14656882189607,5042
"1296",1.72,100,3.77,30,2,3.88454364585924,32168
"1297",5.67,20000,3.63,7242,5,4.10375981387862,839882
"1298",6,100,3.31,13,8,3.98378378378378,3515
"1299",6,100,4.31,13,7,4.00154626913012,25222
"1300",12,100,4.11,75,102,4.22726098191214,7740
"1301",11,100,3.61,28,59,4.18473164928976,14291
"1302",12,50,4.17,18,17,4.38529456749955,71919
"1303",11,1000,3.58,483,10,4.13246385920805,6364
"1304",8,1000,3.76,843,7,4.25687325256291,25752
"1305",5,100,3.7,10,24,3.93948159491804,35262
"1306",4,100,4.5,2,4,4.18913926856299,2707
"1307",11,10000,3.28,2521,43,4.11527544832925,15502
"1308",12,50,4.24,17,11,3.83981866263695,2647
"1309",11,5000,3.26,692,17,3.84306418219462,4830
"1310",8,50,3.88,8,7,3.73652694610778,334
"1311",7,10000,3.85,1193,7,4.17944544229906,17816
"1312",8,100,3.87,91,11,4.04006229990482,11557
"1313",1.88,100,4.46,26,25,4.00728332119446,1373
"1314",11,1000,4.32,269,10,4.19455414674704,4811
"1315",9,100,3.55,33,135,4.0489939637827,9940
"1316",3.88,10000,3.66,585,5,4.01815713558459,35358
"1317",11,1000,2.99,228,11,4.03286474164134,5264
"1318",8,100,2.81,21,11,3.58064516129032,31
"1319",5.65,1000,3.96,164,6,4.04517020066618,12309
"1320",8,100,3.97,29,65,3.88284518828452,239
"1321",2,10,4.8,5,2,3.66666666666667,42
"1322",12,1000,4.25,215,13,4.08496948792783,15076
"1323",1.66,100,3.75,20,2,3.94331983805668,247
"1324",7,1000,3.27,601,6,3.96538759921227,16757
"1325",8,1000,3.12,341,20,3.95316874522779,7858
"1326",9,1000,4.03,248,8,3.90650406504065,1722
"1327",8,1000,3.69,294,7,3.76613885505481,821
"1328",14,1000,4.38,425,107,3.96603495860166,27175
"1329",8,1000,4.39,574,13,4.14656882189607,5042
"1330",11,10000,3.98,397,43,3.92800945466824,29615
"1331",19,100,4.33,61,17,4.23408624229979,487
"1332",7,50,4,4,6,4.35294117647059,34
"1333",8,10000,3.61,2187,8,4.03831969818999,70773
"1334",11,1000,3.69,113,10,3.89593727726301,1403
"1335",12,1000,4.1,534,93,4.24131274131274,15540
"1336",2,100,3.67,12,9,3.8018018018018,111
"1337",8,100,3.37,19,7,3.96533732967002,36033
"1338",8,100,4.05,114,59,3.76623376623377,231
"1339",5,100,4.08,13,9,3.89142132369898,26018
"1340",5,100,4.07,30,48,4.08977573160726,43876
"1341",13,100,3.74,54,34,3.98799019607843,4080
"1342",2,5000,3.91,239,7,4.09983079526227,591
"1343",8,100,4.01,79,48,3.85496183206107,131
"1344",5.86,100,4.55,76,5,4.36458333333333,96
"1345",7,5000,3.81,192,34,4.01381287464165,15348
"1346",2,10,4.8,5,2,3.66666666666667,42
"1347",1.68,100,3.67,12,2,3.95606494746896,1047
"1348",8,100,4.07,58,10,4.04065040650407,123
"1349",8,100,2,2,7,4.07420278004906,14676
"1350",8,1000,3.88,161,252,3.95081190798376,14780
"1351",12,1000,3.7,647,11,3.95283612844142,17471
"1352",2,100,3.1,30,4,3.42253521126761,71
"1353",11,1000,3.63,118,83,3.70287539936102,626
"1354",8,10000,4.14,2604,7,4.07709530561982,13399
"1355",16,100,3.93,46,50,4.3106662591687,19632
"1356",8,8,5,0,68,3.91693290734824,626
"1357",9,5000,4.41,1153,8,4.13888538532226,55499
"1358",11,5000,4.11,377,38,4.17109634551495,602
"1359",8,5000,3.71,346,7,3.85849983622666,3053
"1360",8,5000,4.26,1057,50,3.86384484340191,7631
"1361",11,10000,3.65,2422,10,4.3104329907398,78616
"1362",11,50,4,7,85,3.71428571428571,21
